GENE NAME,Enzyme or Protein,GENE NAME/GENE/ENZYME PROTEIN,KO classification,Metabolism/other,Top Pathway
03029 Mitoch,ondrial biogenesis [BR:slv03029],C    03029 Mitochondrial biogenesis [BR:slv03029],,Brite Hierarchies,Other
SLIV_10100,infB; Translation initiation factor IF-2,D      SLIV_10100 infB; Translation initiation factor IF-2,K02519 infB; translation initiation factor IF-2,Brite Hierarchies,Other
SLIV_29725,infC; Translation initiation factor IF-3,D      SLIV_29725 infC; Translation initiation factor IF-3,K02520 infC; translation initiation factor IF-3,Brite Hierarchies,Other
SLIV_10425,tsf; Elongation factor Ts,D      SLIV_10425 tsf; Elongation factor Ts,K02357 tsf; elongation factor Ts,Brite Hierarchies,Other
SLIV_15025,tuf1; Elongation factor Tu-1,D      SLIV_15025 tuf1; Elongation factor Tu-1,K02358 tuf; elongation factor Tu,Brite Hierarchies,Other
SLIV_31185,tuf3; Elongation factor Tu-3,D      SLIV_31185 tuf3; Elongation factor Tu-3,K02358 tuf; elongation factor Tu,Brite Hierarchies,Other
SLIV_05475,fusB; Elongation factor G 2,D      SLIV_05475 fusB; Elongation factor G 2,K02355 fusA; elongation factor G,Brite Hierarchies,Other
SLIV_15030,fusA; Elongation factor G 1,D      SLIV_15030 fusA; Elongation factor G 1,K02355 fusA; elongation factor G,Brite Hierarchies,Other
SLIV_30135,Elongation factor G-like protein,D      SLIV_30135 Elongation factor G-like protein,K02355 fusA; elongation factor G,Brite Hierarchies,Other
SLIV_24990,era; GTPase Era,D      SLIV_24990 era; GTPase Era,K03595 era; GTPase,Brite Hierarchies,Other
SLIV_28630,tyrS; Tyrosine-tRNA ligase,D      SLIV_28630 tyrS; Tyrosine-tRNA ligase,K01866 YARS; tyrosyl-tRNA synthetase [EC:6.1.1.1],Brite Hierarchies,Other
SLIV_24830,leuS; Leucine-tRNA ligase,D      SLIV_24830 leuS; Leucine-tRNA ligase,K01869 LARS; leucyl-tRNA synthetase [EC:6.1.1.4],Brite Hierarchies,Other
SLIV_19325,aspS; Aspartate-tRNA ligase,D      SLIV_19325 aspS; Aspartate-tRNA ligase,K01876 DARS2; aspartyl-tRNA synthetase [EC:6.1.1.12],Brite Hierarchies,Other
SLIV_25165,glyQS; Glycine-tRNA ligase,D      SLIV_25165 glyQS; Glycine-tRNA ligase,K01880 GARS; glycyl-tRNA synthetase [EC:6.1.1.14],Brite Hierarchies,Other
SLIV_11730,arginyl tRNA synthetase,D      SLIV_11730 arginyl tRNA synthetase,K01887 RARS; arginyl-tRNA synthetase [EC:6.1.1.19],Brite Hierarchies,Other
SLIV_21270,argS; Arginine-tRNA ligase,D      SLIV_21270 argS; Arginine-tRNA ligase,K01887 RARS; arginyl-tRNA synthetase [EC:6.1.1.19],Brite Hierarchies,Other
SLIV_11010,gatA; Glutamyl-tRNA(Gln) amidotransferase su,D      SLIV_11010 gatA; Glutamyl-tRNA(Gln) amidotransferase subunit A,K02433 gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7],Brite Hierarchies,Other
SLIV_23540,amidase,D      SLIV_23540 amidase,K02433 gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7],Brite Hierarchies,Other
SLIV_11000,gatB; Aspartyl/glutamyl-tRNA(Asn/Gln) amidot,D      SLIV_11000 gatB; Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,K02434 gatB; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7],Brite Hierarchies,Other
SLIV_11015,gatC; aspartyl/glutamyl-tRNA amidotransferas,D      SLIV_11015 gatC; aspartyl/glutamyl-tRNA amidotransferase subunit C,K02435 gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7],Brite Hierarchies,Other
SLIV_18730,ssb2; Single-stranded DNA-binding protein 2,D      SLIV_18730 ssb2; Single-stranded DNA-binding protein 2,K03111 ssb; single-strand DNA-binding protein,Brite Hierarchies,Other
SLIV_24260,ssb1; Single-stranded DNA-binding protein 1,D      SLIV_24260 ssb1; Single-stranded DNA-binding protein 1,K03111 ssb; single-strand DNA-binding protein,Brite Hierarchies,Other
SLIV_19945,dnaK; Chaperone protein DnaK,D      SLIV_19945 dnaK; Chaperone protein DnaK,K04043 dnaK; molecular chaperone DnaK,Brite Hierarchies,Other
SLIV_19950,grpE; Protein GrpE,D      SLIV_19950 grpE; Protein GrpE,K03687 GRPE; molecular chaperone GrpE,Brite Hierarchies,Other
SLIV_14550,groL1; 60 kDa chaperonin 1,D      SLIV_14550 groL1; 60 kDa chaperonin 1,K04077 groEL; chaperonin GroEL [EC:5.6.1.7],Brite Hierarchies,Other
SLIV_16915,groL2; 60 kDa chaperonin 2,D      SLIV_16915 groL2; 60 kDa chaperonin 2,K04077 groEL; chaperonin GroEL [EC:5.6.1.7],Brite Hierarchies,Other
SLIV_14555,groS; 10 kDa chaperonin,D      SLIV_14555 groS; 10 kDa chaperonin,K04078 groES; chaperonin GroES,Brite Hierarchies,Other
SLIV_23195,GroES family molecular chaperone,D      SLIV_23195 GroES family molecular chaperone,K04078 groES; chaperonin GroES,Brite Hierarchies,Other
SLIV_19955,dnaJ1; Chaperone protein DnaJ 1,D      SLIV_19955 dnaJ1; Chaperone protein DnaJ 1,K03686 dnaJ; molecular chaperone DnaJ,Brite Hierarchies,Other
SLIV_24915,dnaJ2; Chaperone protein DnaJ 2,D      SLIV_24915 dnaJ2; Chaperone protein DnaJ 2,K03686 dnaJ; molecular chaperone DnaJ,Brite Hierarchies,Other
SLIV_08175,iscS1; Cysteine desulfurase,D      SLIV_08175 iscS1; Cysteine desulfurase,K04487 iscS; cysteine desulfurase [EC:2.8.1.7],Brite Hierarchies,Other
SLIV_11075,iscS2; Cysteine desulfurase,D      SLIV_11075 iscS2; Cysteine desulfurase,K04487 iscS; cysteine desulfurase [EC:2.8.1.7],Brite Hierarchies,Other
SLIV_26920,aminotransferase,D      SLIV_26920 aminotransferase,K04487 iscS; cysteine desulfurase [EC:2.8.1.7],Brite Hierarchies,Other
SLIV_12620,mrp; Mrp-like protein,D      SLIV_12620 mrp; Mrp-like protein,K03593 mrp; ATP-binding protein involved in chromosome partitioning,Brite Hierarchies,Other
SLIV_28045,ctaB; Protoheme IX farnesyltransferase,D      SLIV_28045 ctaB; Protoheme IX farnesyltransferase,K02257 COX10; heme o synthase [EC:2.5.1.141],Brite Hierarchies,Other
SLIV_28065,integral membrane transport protein,D      SLIV_28065 integral membrane transport protein,K02259 COX15; heme a synthase [EC:1.17.99.9],Brite Hierarchies,Other
SLIV_18850,Membrane protein insertase,D      SLIV_18850 Membrane protein insertase,K03217 yidC; YidC/Oxa1 family membrane protein insertase,Brite Hierarchies,Other
SLIV_23400,membrane protein,D      SLIV_23400 membrane protein,K03217 yidC; YidC/Oxa1 family membrane protein insertase,Brite Hierarchies,Other
SLIV_18490,hypothetical protein,D      SLIV_18490 hypothetical protein,K07152 SCO1; protein SCO1,Brite Hierarchies,Other
SLIV_01730,htpG; Chaperone protein HtpG,D      SLIV_01730 htpG; Chaperone protein HtpG,K04079 HSP90A; molecular chaperone HtpG,Brite Hierarchies,Other
SLIV_30740,HSP90 family protein,D      SLIV_30740 HSP90 family protein,K04079 HSP90A; molecular chaperone HtpG,Brite Hierarchies,Other
,,B,,Brite Hierarchies,Other
09183 Protein,families: signaling and cellular processes,B  09183 Protein families: signaling and cellular processes,,Brite Hierarchies,Other
02000 Transp,orters [BR:slv02000],C    02000 Transporters [BR:slv02000],,Brite Hierarchies,Other
SLIV_00855,ABC transporter ATP-binding protein,D      SLIV_00855 ABC transporter ATP-binding protein,"K14698 irtA; ATP-binding cassette, subfamily B, bacterial IrtA/YbtP [EC:7.-.-.-]",Brite Hierarchies,Other
SLIV_00850,ABC transporter ATP-binding protein,D      SLIV_00850 ABC transporter ATP-binding protein,"K14699 irtB; ATP-binding cassette, subfamily B, bacterial IrtB/YbtQ [EC:7.-.-.-]",Brite Hierarchies,Other
SLIV_05095,ABC transporter ATP-binding protein,D      SLIV_05095 ABC transporter ATP-binding protein,"K24910 ramA; ATP-binding cassette, subfamily B, bacterial RamA/AmfB",Brite Hierarchies,Other
SLIV_05090,ABC transporter ATP-binding protein,D      SLIV_05090 ABC transporter ATP-binding protein,"K24911 ramB; ATP-binding cassette, subfamily B, bacterial RamB/AmfA",Brite Hierarchies,Other
SLIV_25370,putative ABC transporter ATP-binding protein,D      SLIV_25370 putative ABC transporter ATP-binding protein,"K18887 efrA; ATP-binding cassette, subfamily B, multidrug efflux pump",Brite Hierarchies,Other
SLIV_25365,putative ABC transporter ATP-binding protein,D      SLIV_25365 putative ABC transporter ATP-binding protein,"K18888 efrB; ATP-binding cassette, subfamily B, multidrug efflux pump",Brite Hierarchies,Other
SLIV_06670,ABC transporter ATP-binding protein,D      SLIV_06670 ABC transporter ATP-binding protein,"K06147 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",Brite Hierarchies,Other
SLIV_11250,ABC transporter,D      SLIV_11250 ABC transporter,"K06147 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",Brite Hierarchies,Other
SLIV_11255,ABC transporter,D      SLIV_11255 ABC transporter,"K06147 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",Brite Hierarchies,Other
SLIV_23860,ABC transporter,D      SLIV_23860 ABC transporter,"K06147 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",Brite Hierarchies,Other
SLIV_32080,ABC transporter ATP-binding protein,D      SLIV_32080 ABC transporter ATP-binding protein,"K06147 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",Brite Hierarchies,Other
SLIV_34435,ABC transporter ATP-binding protein,D      SLIV_34435 ABC transporter ATP-binding protein,"K06147 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",Brite Hierarchies,Other
SLIV_36070,ABC transporter,D      SLIV_36070 ABC transporter,"K06147 ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",Brite Hierarchies,Other
SLIV_18585,ABC transporter,D      SLIV_18585 ABC transporter,"K16014 cydCD; ATP-binding cassette, subfamily C, bacterial CydCD",Brite Hierarchies,Other
SLIV_36315,tlrC; Tylosin resistance ATP-binding protein,D      SLIV_36315 tlrC; Tylosin resistance ATP-binding protein TlrC,K18230 tylC; macrolide transport system ATP-binding/permease protein,Brite Hierarchies,Other
SLIV_21960,ABC transporter ATP-binding protein,D      SLIV_21960 ABC transporter ATP-binding protein,K15738 uup; ABC transport system ATP-binding/permease protein,Brite Hierarchies,Other
SLIV_28690,ABC transporter ATP-binding protein,D      SLIV_28690 ABC transporter ATP-binding protein,K21397 K21397; ABC transport system ATP-binding/permease protein,Brite Hierarchies,Other
SLIV_35485,ABC transporter transmembrane protein,D      SLIV_35485 ABC transporter transmembrane protein,K02021 ABC.MR; putative ABC transport system ATP-binding protein,Brite Hierarchies,Other
SLIV_19775,substrate-binding transporter,D      SLIV_19775 substrate-binding transporter,K02020 modA; molybdate transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_19770,ABC transporter membrane subunit,D      SLIV_19770 ABC transporter membrane subunit,K02018 modB; molybdate transport system permease protein,Brite Hierarchies,Other
SLIV_19765,ABC transporter ATP-binding subunit,D      SLIV_19765 ABC transporter ATP-binding subunit,K02017 modC; molybdate transport system ATP-binding protein [EC:7.3.2.5],Brite Hierarchies,Other
SLIV_01580,Putative binding protein,D      SLIV_01580 Putative binding protein,K15553 ssuA; sulfonate transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_07660,lipoprotein,D      SLIV_07660 lipoprotein,K15553 ssuA; sulfonate transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_01590,putative ABC transporter permease protein,D      SLIV_01590 putative ABC transporter permease protein,K15554 ssuC; sulfonate transport system permease protein,Brite Hierarchies,Other
SLIV_07670,transport system integral membrane protein,D      SLIV_07670 transport system integral membrane protein,K15554 ssuC; sulfonate transport system permease protein,Brite Hierarchies,Other
SLIV_01585,Putative ATP-binding protein,D      SLIV_01585 Putative ATP-binding protein,K15555 ssuB; sulfonate transport system ATP-binding protein [EC:7.6.2.14],Brite Hierarchies,Other
SLIV_07665,ABC transporter ATP-binding protein,D      SLIV_07665 ABC transporter ATP-binding protein,K15555 ssuB; sulfonate transport system ATP-binding protein [EC:7.6.2.14],Brite Hierarchies,Other
SLIV_08985,hypothetical protein,D      SLIV_08985 hypothetical protein,K02011 afuB; iron(III) transport system permease protein,Brite Hierarchies,Other
SLIV_08990,putative ATP-binding protein,D      SLIV_08990 putative ATP-binding protein,K02010 afuC; iron(III) transport system ATP-binding protein [EC:7.2.2.7],Brite Hierarchies,Other
SLIV_10395,solute binding lipoprotein,D      SLIV_10395 solute binding lipoprotein,K02064 thiB; thiamine transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_10390,ABC transporter integral membrane protein,D      SLIV_10390 ABC transporter integral membrane protein,K02063 thiP; thiamine transport system permease protein,Brite Hierarchies,Other
SLIV_10385,fbpC; Fe(3+) ions import ATP-binding protein,D      SLIV_10385 fbpC; Fe(3+) ions import ATP-binding protein FbpC,K02062 thiQ; thiamine transport system ATP-binding protein [EC:7.6.2.15],Brite Hierarchies,Other
SLIV_10290,ABC-transporter polyamine-binding lipoprotei,D      SLIV_10290 ABC-transporter polyamine-binding lipoprotein,K11069 potD; spermidine/putrescine transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_10335,polyamine-binding lipoprotein,D      SLIV_10335 polyamine-binding lipoprotein,K11069 potD; spermidine/putrescine transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_10275,polyamine ABC-transporter integral memb rane,D      SLIV_10275 polyamine ABC-transporter integral memb rane protein,K11070 potC; spermidine/putrescine transport system permease protein,Brite Hierarchies,Other
SLIV_10280,polyamine ABC-transporter integral memb rane,D      SLIV_10280 polyamine ABC-transporter integral memb rane protein,K11071 potB; spermidine/putrescine transport system permease protein,Brite Hierarchies,Other
SLIV_10285,potA; Spermidine/putrescine import ATP-bindi,D      SLIV_10285 potA; Spermidine/putrescine import ATP-binding protein PotA,K11072 potA; spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11],Brite Hierarchies,Other
SLIV_14210,glycine betaine-binding lipoprotein,D      SLIV_14210 glycine betaine-binding lipoprotein,K02002 proX; glycine betaine/proline transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_29640,glycine betaine transport system permease,D      SLIV_29640 glycine betaine transport system permease,K02001 proW; glycine betaine/proline transport system permease protein,Brite Hierarchies,Other
SLIV_14215,glycine betaine ABC transport system integra,D      SLIV_14215 glycine betaine ABC transport system integral membrane protein,K02001 proW; glycine betaine/proline transport system permease protein,Brite Hierarchies,Other
SLIV_14220,glycine betaine ABC transport system ATP-bin,D      SLIV_14220 glycine betaine ABC transport system ATP-binding protein,K02000 proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9],Brite Hierarchies,Other
SLIV_29635,glycine/betaine transport ATP-binding protei,D      SLIV_29635 glycine/betaine transport ATP-binding protein,K02000 proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9],Brite Hierarchies,Other
SLIV_07815,substrate-binding protein,D      SLIV_07815 substrate-binding protein,K05845 opuC; osmoprotectant transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_23030,permease binding-protein component,D      SLIV_23030 permease binding-protein component,K05845 opuC; osmoprotectant transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_07820,ABC transporter permease,D      SLIV_07820 ABC transporter permease,K05846 opuBD; osmoprotectant transport system permease protein,Brite Hierarchies,Other
SLIV_07825,ABC transporter permease,D      SLIV_07825 ABC transporter permease,K05846 opuBD; osmoprotectant transport system permease protein,Brite Hierarchies,Other
SLIV_23035,permease membrane protein,D      SLIV_23035 permease membrane protein,K05846 opuBD; osmoprotectant transport system permease protein,Brite Hierarchies,Other
SLIV_23045,permease membrane protein,D      SLIV_23045 permease membrane protein,K05846 opuBD; osmoprotectant transport system permease protein,Brite Hierarchies,Other
SLIV_07830,ABC transporter ATP-binding protein,D      SLIV_07830 ABC transporter ATP-binding protein,K05847 opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9],Brite Hierarchies,Other
SLIV_23040,ABC transporter ATP-binding protein,D      SLIV_23040 ABC transporter ATP-binding protein,K05847 opuA; osmoprotectant transport system ATP-binding protein [EC:7.6.2.9],Brite Hierarchies,Other
SLIV_05125,ABC transporter ATP-binding protein,D      SLIV_05125 ABC transporter ATP-binding protein,K02049 ABC.SN.A; NitT/TauT family transport system ATP-binding protein,Brite Hierarchies,Other
SLIV_17190,sugC; Trehalose import ATP-binding protein S,D      SLIV_17190 sugC; Trehalose import ATP-binding protein SugC,K10112 msmX; multiple sugar transport system ATP-binding protein [EC:7.5.2.-],Brite Hierarchies,Other
SLIV_29205,"ABC sugar transporter, ATP-binding subunit","D      SLIV_29205 ABC sugar transporter, ATP-binding subunit",K10112 msmX; multiple sugar transport system ATP-binding protein [EC:7.5.2.-],Brite Hierarchies,Other
SLIV_26565,maltose-binding protein,D      SLIV_26565 maltose-binding protein,K15770 cycB; arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_26570,maltose permease,D      SLIV_26570 maltose permease,K15771 ganP; arabinogalactan oligomer / maltooligosaccharide transport system permease protein,Brite Hierarchies,Other
SLIV_26575,maltose permease,D      SLIV_26575 maltose permease,K15772 ganQ; arabinogalactan oligomer / maltooligosaccharide transport system permease protein,Brite Hierarchies,Other
SLIV_03440,sugar-binding protein,D      SLIV_03440 sugar-binding protein,K10117 msmE; raffinose/stachyose/melibiose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_06985,sugar transport system sugar-binding lipopro,D      SLIV_06985 sugar transport system sugar-binding lipoprotein,K10117 msmE; raffinose/stachyose/melibiose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_36175,solute-binding protein,D      SLIV_36175 solute-binding protein,K10117 msmE; raffinose/stachyose/melibiose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_36465,solute-binding protein,D      SLIV_36465 solute-binding protein,K10117 msmE; raffinose/stachyose/melibiose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_03445,sugar-transporter integral membrane protein,D      SLIV_03445 sugar-transporter integral membrane protein,K10118 msmF; raffinose/stachyose/melibiose transport system permease protein,Brite Hierarchies,Other
SLIV_06990,sugar transport system permease,D      SLIV_06990 sugar transport system permease,K10118 msmF; raffinose/stachyose/melibiose transport system permease protein,Brite Hierarchies,Other
SLIV_36170,binding protein dependent transporter,D      SLIV_36170 binding protein dependent transporter,K10118 msmF; raffinose/stachyose/melibiose transport system permease protein,Brite Hierarchies,Other
SLIV_36460,binding protein dependent transporter,D      SLIV_36460 binding protein dependent transporter,K10118 msmF; raffinose/stachyose/melibiose transport system permease protein,Brite Hierarchies,Other
SLIV_03450,sugar-binding integral membrane transport pr,D      SLIV_03450 sugar-binding integral membrane transport protein,K10119 msmG; raffinose/stachyose/melibiose transport system permease protein,Brite Hierarchies,Other
SLIV_06995,sugar transport system permease,D      SLIV_06995 sugar transport system permease,K10119 msmG; raffinose/stachyose/melibiose transport system permease protein,Brite Hierarchies,Other
SLIV_36165,binding-protein-dependent transporter,D      SLIV_36165 binding-protein-dependent transporter,K10119 msmG; raffinose/stachyose/melibiose transport system permease protein,Brite Hierarchies,Other
SLIV_36455,sugar ABC-transporter integral membrane prot,D      SLIV_36455 sugar ABC-transporter integral membrane protein,K10119 msmG; raffinose/stachyose/melibiose transport system permease protein,Brite Hierarchies,Other
SLIV_22810,hypothetical protein,D      SLIV_22810 hypothetical protein,K10232 aglE; alpha-glucoside transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_30440,secreted protein,D      SLIV_30440 secreted protein,K10232 aglE; alpha-glucoside transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_22805,integral membrane transport protein,D      SLIV_22805 integral membrane transport protein,K10233 aglF; alpha-glucoside transport system permease protein,Brite Hierarchies,Other
SLIV_22800,integral membrane transport protein,D      SLIV_22800 integral membrane transport protein,K10234 aglG; alpha-glucoside transport system permease protein,Brite Hierarchies,Other
SLIV_08110,lipoprotein,D      SLIV_08110 lipoprotein,K10200 ngcE; N-acetylglucosamine transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_08105,transmembrane transporter,D      SLIV_08105 transmembrane transporter,K10201 ngcF; N-acetylglucosamine transport system permease protein,Brite Hierarchies,Other
SLIV_08100,transmembrane transporter,D      SLIV_08100 transmembrane transporter,K10202 ngcG; N-acetylglucosamine transport system permease protein,Brite Hierarchies,Other
SLIV_01535,solute binding lipoprotein,D      SLIV_01535 solute binding lipoprotein,K10240 cebE; cellobiose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_23695,sugar binding secreted protein,D      SLIV_23695 sugar binding secreted protein,K10240 cebE; cellobiose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_01530,sugar transport permease,D      SLIV_01530 sugar transport permease,K10241 cebF; cellobiose transport system permease protein,Brite Hierarchies,Other
SLIV_23690,cellobiose transport permease,D      SLIV_23690 cellobiose transport permease,K10241 cebF; cellobiose transport system permease protein,Brite Hierarchies,Other
SLIV_01525,sugar transport integral membrane protein,D      SLIV_01525 sugar transport integral membrane protein,K10242 cebG; cellobiose transport system permease protein,Brite Hierarchies,Other
SLIV_23685,cellobiose transport permease,D      SLIV_23685 cellobiose transport permease,K10242 cebG; cellobiose transport system permease protein,Brite Hierarchies,Other
SLIV_12205,sugar transporter sugar binding protein,D      SLIV_12205 sugar transporter sugar binding protein,"K17329 dasA; N,N'-diacetylchitobiose transport system substrate-binding protein",Brite Hierarchies,Other
SLIV_22965,sugar transporter sugar-binding protein,D      SLIV_22965 sugar transporter sugar-binding protein,"K17329 dasA; N,N'-diacetylchitobiose transport system substrate-binding protein",Brite Hierarchies,Other
SLIV_33360,lipoprotein,D      SLIV_33360 lipoprotein,"K17329 dasA; N,N'-diacetylchitobiose transport system substrate-binding protein",Brite Hierarchies,Other
SLIV_35290,sugar transporter sugar binding protein,D      SLIV_35290 sugar transporter sugar binding protein,"K17329 dasA; N,N'-diacetylchitobiose transport system substrate-binding protein",Brite Hierarchies,Other
SLIV_12200,sugar transporter integral membrane protein,D      SLIV_12200 sugar transporter integral membrane protein,"K17330 dasB; N,N'-diacetylchitobiose transport system permease protein",Brite Hierarchies,Other
SLIV_22970,sugar transporter membrane protein,D      SLIV_22970 sugar transporter membrane protein,"K17330 dasB; N,N'-diacetylchitobiose transport system permease protein",Brite Hierarchies,Other
SLIV_35285,sugar transporter membrane protein,D      SLIV_35285 sugar transporter membrane protein,"K17330 dasB; N,N'-diacetylchitobiose transport system permease protein",Brite Hierarchies,Other
SLIV_12195,sugar transporter integral membrane protein,D      SLIV_12195 sugar transporter integral membrane protein,"K17331 dasC; N,N'-diacetylchitobiose transport system permease protein",Brite Hierarchies,Other
SLIV_22975,sugar transporter membrane protein,D      SLIV_22975 sugar transporter membrane protein,"K17331 dasC; N,N'-diacetylchitobiose transport system permease protein",Brite Hierarchies,Other
SLIV_35280,sugar transporter membrane protein,D      SLIV_35280 sugar transporter membrane protein,"K17331 dasC; N,N'-diacetylchitobiose transport system permease protein",Brite Hierarchies,Other
SLIV_33175,solute-binding protein,D      SLIV_33175 solute-binding protein,K17244 chiE; putative chitobiose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_33180,transport system permease,D      SLIV_33180 transport system permease,K17245 chiF; putative chitobiose transport system permease protein,Brite Hierarchies,Other
SLIV_33185,transport system permease,D      SLIV_33185 transport system permease,K17246 chiG; putative chitobiose transport system permease protein,Brite Hierarchies,Other
SLIV_32470,sugar transport sugar binding protein,D      SLIV_32470 sugar transport sugar binding protein,K10188 lacE; lactose/L-arabinose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_32475,sugar transport integral membrane protein,D      SLIV_32475 sugar transport integral membrane protein,K10189 lacF; lactose/L-arabinose transport system permease protein,Brite Hierarchies,Other
SLIV_32480,sugar transport integral membrane protein,D      SLIV_32480 sugar transport integral membrane protein,K10190 lacG; lactose/L-arabinose transport system permease protein,Brite Hierarchies,Other
SLIV_10195,lipoprotein,D      SLIV_10195 lipoprotein,K17318 lplA; putative aldouronate transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_10190,transport system integral membrane protein,D      SLIV_10190 transport system integral membrane protein,K17319 lplB; putative aldouronate transport system permease protein,Brite Hierarchies,Other
SLIV_10185,transport system integral membrane protein,D      SLIV_10185 transport system integral membrane protein,K17320 lplC; putative aldouronate transport system permease protein,Brite Hierarchies,Other
SLIV_08090,solute-binding protein,D      SLIV_08090 solute-binding protein,K10543 xylF; D-xylose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_19965,solute-binding protein,D      SLIV_19965 solute-binding protein,K10543 xylF; D-xylose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_08080,ABC transporter,D      SLIV_08080 ABC transporter,K10544 xylH; D-xylose transport system permease protein,Brite Hierarchies,Other
SLIV_08085,ABC transporter ATP-binding protein,D      SLIV_08085 ABC transporter ATP-binding protein,K10545 xylG; D-xylose transport system ATP-binding protein [EC:7.5.2.10],Brite Hierarchies,Other
SLIV_04105,sugar-binding lipoprotein,D      SLIV_04105 sugar-binding lipoprotein,K17326 bxlE; xylobiose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_04100,binding-protein-dependent transport protein,D      SLIV_04100 binding-protein-dependent transport protein,K17327 bxlF; xylobiose transport system permease protein,Brite Hierarchies,Other
SLIV_04095,binding-protein-dependent transport protein,D      SLIV_04095 binding-protein-dependent transport protein,K17328 bxlG; xylobiose transport system permease protein,Brite Hierarchies,Other
SLIV_25680,chvE; Multiple sugar-binding periplasmic rec,D      SLIV_25680 chvE; Multiple sugar-binding periplasmic receptor ChvE,K10546 chvE; putative multiple sugar transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_25670,sugar transport permease,D      SLIV_25670 sugar transport permease,K10547 gguB; putative multiple sugar transport system permease protein,Brite Hierarchies,Other
SLIV_25675,araG; L-arabinose transport ATP-binding prot,D      SLIV_25675 araG; L-arabinose transport ATP-binding protein AraG,K10548 gguA; putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-],Brite Hierarchies,Other
SLIV_33890,solute-binding lipoprotein,D      SLIV_33890 solute-binding lipoprotein,K10559 rhaS; rhamnose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_35700,"rhamnose ABC transporter, rhamnose-binding p","D      SLIV_35700 rhamnose ABC transporter, rhamnose-binding protein",K10559 rhaS; rhamnose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_33880,ABC transporter permease,D      SLIV_33880 ABC transporter permease,K10560 rhaP; rhamnose transport system permease protein,Brite Hierarchies,Other
SLIV_33885,ABC transporter permease,D      SLIV_33885 ABC transporter permease,K10561 rhaQ; rhamnose transport system permease protein,Brite Hierarchies,Other
SLIV_33875,ABC transporter ATP-binding protein,D      SLIV_33875 ABC transporter ATP-binding protein,K10562 rhaT; rhamnose transport system ATP-binding protein [EC:7.5.2.-],Brite Hierarchies,Other
SLIV_05580,solute binding protein,D      SLIV_05580 solute binding protein,K10439 rbsB; ribose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_23935,bifunctional carbohydrate binding and transp,D      SLIV_23935 bifunctional carbohydrate binding and transport protein,K10439 rbsB; ribose transport system substrate-binding protein,Brite Hierarchies,Other
SLIV_05585,ABC transporter,D      SLIV_05585 ABC transporter,K10440 rbsC; ribose transport system permease protein,Brite Hierarchies,Other
